filename,date,locn,drop,lat,long
33RR20180918_00027_00009_ct1.csv,20180918,00027,00009,2.5008,-152.00436
33RR20180918_00027_00011_ct1.csv,20180918,00027,00011,2.50066,-152.00198
33RR20180918_00029_00002_ct1.csv,20180918,00029,00002,0.00116,-151.99906
33RR20180918_00029_00003_ct1.csv,20180918,00029,00003,0.0039,-151.99524
33RR20180918_00029_00005_ct1.csv,20180918,00029,00005,-0.00018,-151.99972
33RR20180918_00029_00006_ct1.csv,20180918,00029,00006,0.00656,-151.99372
33RR20180918_00029_00009_ct1.csv,20180918,00029,00009,-0.00108,-152.0038
33RR20180918_00029_00010_ct1.csv,20180918,00029,00010,0.00116,-152.00188
33RR20180918_00029_00012_ct1.csv,20180918,00029,00012,-4e-05,-151.99932
33RR20180918_00029_00013_ct1.csv,20180918,00029,00013,-0.0001,-151.98792
33RR20180918_00031_00002_ct1.csv,20180918,00031,00002,-2.50008,-152.00024
33RR20180918_00031_00003_ct1.csv,20180918,00031,00003,-2.50008,-152.00024
33RR20180918_00031_00005_ct1.csv,20180918,00031,00005,-2.50148,-152.0067
33RR20180918_00031_00006_ct1.csv,20180918,00031,00006,-2.50282,-152.01076
33RR20180918_00031_00008_ct1.csv,20180918,00031,00008,-2.49978,-151.99922
33RR20180918_00031_00009_ct1.csv,20180918,00031,00009,-2.49934,-151.99952
33RR20180918_00031_00011_ct1.csv,20180918,00031,00011,-2.50466,-152.00024
33RR20180918_00033_00002_ct1.csv,20180918,00033,00002,-5.00048,-152.00058
33RR20180918_00033_00003_ct1.csv,20180918,00033,00003,-5.00046,-152.00056
33RR20180918_00033_00005_ct1.csv,20180918,00033,00005,-5.00042,-152.00056
33RR20180918_00033_00006_ct1.csv,20180918,00033,00006,-5.00044,-152.00056
33RR20180918_00033_00008_ct1.csv,20180918,00033,00008,-4.99976,-152.00266
33RR20180918_00033_00009_ct1.csv,20180918,00033,00009,-4.99974,-152.00262
33RR20180918_00033_00011_ct1.csv,20180918,00033,00011,-4.99974,-152.00262
33RR20180918_00034_00002_ct1.csv,20180918,00034,00002,-7.5001,-152.00022
33RR20180918_00034_00003_ct1.csv,20180918,00034,00003,-7.5001,-152.00024
33RR20180918_00035_00002_ct1.csv,20180918,00035,00002,-10.50022,-152.0002
33RR20180918_00035_00003_ct1.csv,20180918,00035,00003,-10.50022,-152.0002
33RR20180918_00035_00005_ct1.csv,20180918,00035,00005,-10.50024,-152.0003
33RR20180918_00035_00006_ct1.csv,20180918,00035,00006,-10.50022,-152.00028
33RR20180918_00035_00009_ct1.csv,20180918,00035,00009,-10.50026,-152.00002
33RR20180918_00035_00010_ct1.csv,20180918,00035,00010,-10.50028,-152.00002
33RR20180918_00035_00012_ct1.csv,20180918,00035,00012,-10.49962,-151.99976
33RR20180918_00035_00013_ct1.csv,20180918,00035,00013,-10.50002,-152.00034
33RR20180918_00036_00002_ct1.csv,20180918,00036,00002,-12.75036,-151.99998
33RR20180918_00036_00003_ct1.csv,20180918,00036,00003,-12.75028,-152.00008
33RR20180918_00037_00002_ct1.csv,20180918,00037,00002,-15.00014,-152.00014
33RR20180918_00037_00003_ct1.csv,20180918,00037,00003,-15.00014,-152.00016
33RR20180918_00037_00005_ct1.csv,20180918,00037,00005,-15.00008,-152.00034
33RR20180918_00037_00006_ct1.csv,20180918,00037,00006,-15.00008,-152.00032
33RR20180918_00037_00008_ct1.csv,20180918,00037,00008,-15.00026,-152.00018
33RR20180918_00037_00009_ct1.csv,20180918,00037,00009,-15.00024,-152.00016
33RR20180918_00037_00011_ct1.csv,20180918,00037,00011,-14.9987,-151.99826
33RR20180918_00038_00002_ct1.csv,20180918,00038,00002,-17.49988,-152.00044
33RR20180918_00038_00003_ct1.csv,20180918,00038,00003,-17.49994,-152.00052
33RR20180918_00039_00002_ct1.csv,20180918,00039,00002,-19.99968,-152.00014
33RR20180918_00039_00003_ct1.csv,20180918,00039,00003,-19.99976,-152.00014
33RR20180918_00039_00005_ct1.csv,20180918,00039,00005,-19.99988,-152.00034
33RR20180918_00039_00006_ct1.csv,20180918,00039,00006,-19.9999,-152.00032
33RR20180918_00039_00009_ct1.csv,20180918,00039,00009,-19.9999,-152.00032
33RR20180918_00039_00010_ct1.csv,20180918,00039,00010,-19.99988,-152.00032
33RR20180918_00039_00012_ct1.csv,20180918,00039,00012,-19.99996,-151.9991
33RR20180918_00183_00001_ct1.csv,20180918,00183,00001,19.68128,-154.51308
33RR20180918_00183_00002_ct1.csv,20180918,00183,00002,19.6808,-154.51318
33RR20180918_00186_00002_ct1.csv,20180918,00186,00002,18.9065,-155.25804
33RR20180918_00186_00003_ct1.csv,20180918,00186,00003,18.9064,-155.25806
